Business_ID,Industry,Employee_Count,Revenue,Expenses,Profit_Margin,Loans_Taken,Loan_Default,Cash_Reserves,Financial_Stress_Score,Financial_Stress_Flag
B209944,Services,7,500000.0,352704.26,29.46,1,0,81767.6,55.34,0
B205064,Manufacturing,21,500000.0,381330.15,23.73,0,0,23369.31,56.41,0
B205300,Services,26,500000.0,334557.03,33.09,0,0,104895.08,43.08,0
B207260,Retail,23,500000.0,382691.16,23.46,1,0,86710.95,50.39,0
B200742,Retail,9,500000.0,411506.08,17.7,0,0,65301.74,47.76,0
B202909,IT,14,500000.0,343084.61,31.38,0,0,116077.08,51.34,0
B207456,Food,6,500000.0,399002.21,20.2,1,0,94703.55,57.25,0
B207321,Services,26,500000.0,386866.66,22.63,0,0,65170.52,53.16,0
B208349,Retail,27,500000.0,481873.7,3.63,0,0,50457.5,51.65,0
B207837,Retail,34,500000.0,401969.76,,0,0,58168.96,50.0,0
B202218,Retail,31,500000.0,478337.93,4.33,0,0,43050.52,64.15,1
B202397,Services,13,500000.0,460760.15,7.85,0,0,74328.08,57.16,0
B202521,Manufacturing,50,500000.0,375836.2,24.83,0,0,79521.05,46.29,0
B208673,Food,24,500000.0,362380.47,27.52,0,0,91288.67,48.66,0
B206830,Services,33,500000.0,411171.93,17.77,0,0,70470.14,49.05,0
B202591,Manufacturing,56,500000.0,401665.42,19.67,1,0,78089.51,54.03,0
B207010,IT,25,520824.93,372669.22,28.45,0,0,95021.77,47.41,0
B202119,IT,36,500000.0,366534.76,26.69,0,0,40429.89,46.74,0
B204877,Retail,30,500000.0,408119.64,18.38,0,0,64342.78,51.94,0
B209623,Food,18,500000.0,370664.06,25.87,0,0,91158.66,48.13,0
B206817,Manufacturing,53,500000.0,378873.93,24.23,1,0,85743.56,54.06,0
B206886,Retail,22,500000.0,398864.27,20.23,0,0,40709.67,52.66,0
B207707,Manufacturing,23,500000.0,361592.54,27.68,0,0,17094.69,43.98,0
B201051,,21,500000.0,407125.64,,1,1,78863.09,70.14,1
B206727,Manufacturing,45,500000.0,391842.26,21.63,0,0,90274.82,42.24,0
B201924,manufacturing,52,500000.0,346448.3,30.71,1,1,101997.04,59.0,0
B201678,Services,21,500000.0,331595.68,33.68,0,0,18291.48,38.91,0
B203330,Manufacturing,64,500000.0,430919.79,13.82,1,0,80618.72,53.91,0
B202361,Retail,6,512609.83,482089.27,5.95,1,0,52942.46,56.35,0
B206778,Food,3,500000.0,420276.3,15.94,1,0,74484.23,51.3,0
B204784,IT,35,500000.0,380170.61,23.97,1,0,115018.79,45.6,0
B204379,food,24,542984.62,432737.92,20.3,1,0,95893.87,46.93,0
B202731,Retail,30,500000.0,356702.88,,0,0,61142.07,57.98,0
B203707,nan,5,500000.0,442122.98,11.58,0,0,69961.19,63.07,1
B206735,Healthcare,42,500000.0,403252.3,19.35,0,0,82174.11,52.58,0
B208740,Retail,28,500000.0,464094.52,7.18,0,0,37861.01,58.83,0
B209232,Food,8,500000.0,427678.16,14.46,1,0,72450.56,52.62,0
B207141,Food,4,500000.0,435878.85,12.82,0,0,99327.66,61.0,1
B203667,Food,20,500000.0,397653.3,20.47,0,0,76229.23,46.82,0
B204650,Manufacturing,58,500000.0,425617.56,14.88,1,0,77296.58,58.85,0
B207603,Retail,24,500000.0,1637083.09,19.17,0,0,46898.05,52.37,0
B202405,IT,32,666306.76,457444.77,31.35,0,0,176652.51,47.75,0
B201810,Services,8,500000.0,371928.4,25.61,1,0,69896.2,42.28,0
B209895,Manufacturing,31,500000.0,309401.22,38.12,0,0,119839.64,50.23,0
B206937,services,14,500000.0,389524.98,22.1,0,0,89186.1,43.18,0
B208993,Services,19,500000.0,382684.93,23.46,0,0,74699.37,47.01,0
B206248,Manufacturing,38,500000.0,453298.56,9.34,1,1,57643.13,66.52,1
B203490,Manufacturing,59,500000.0,373782.73,25.24,1,0,59722.91,46.78,0
B203267,Manufacturing,48,500000.0,366061.98,26.79,1,0,61893.7,48.12,0
B208940,Retail,11,500000.0,407148.41,18.57,1,0,102311.89,59.4,0
B204370,Retail,36,500000.0,431208.08,13.76,1,1,68541.04,74.07,1
B205475,Manufacturing,36,500000.0,443657.05,11.27,1,0,36256.0,47.38,0
B201252,Healthcare,15,500000.0,413117.29,17.38,0,0,73369.91,48.37,0
B209641,IT,18,500000.0,329009.71,34.2,0,0,49889.92,45.31,0
B207490,Healthcare,15,500000.0,442291.03,11.54,0,0,44935.4,53.84,0
B204844,Food,13,500000.0,343203.5,31.36,0,0,137763.18,47.46,0
B204233,Manufacturing,30,500000.0,358608.89,28.28,0,0,74356.08,58.52,0
B203099,Retail,46,500000.0,408314.31,18.34,0,0,76911.11,60.37,1
B206330,Healthcare,29,500000.0,394827.84,21.03,1,0,70508.87,45.89,0
B203600,Manufacturing,78,3157908.92,439933.47,12.01,0,0,60414.27,59.33,0
B202791,Manufacturing,57,500000.0,376658.03,24.67,0,0,96288.36,45.68,0
B202166,Retail,39,500000.0,364059.1,27.19,0,0,80145.67,46.44,0
B201901,Retail,16,500000.0,360199.56,27.96,1,0,122201.46,44.08,0
B204599,Food,3,500000.0,400724.0,19.86,1,0,35457.71,54.59,0
B201142,Retail,41,500000.0,423900.6,15.22,0,0,67678.35,53.23,0
B200120,Retail,31,500000.0,443833.81,11.23,0,0,55735.04,54.72,0
B206174,Retail,28,500000.0,400000.21,20.0,1,0,75860.3,59.48,0
B203344,Food,21,500000.0,389581.26,22.08,0,0,45050.35,48.62,0
B201357,Services,26,621918.04,437593.35,29.64,0,0,95131.17,53.29,0
B200418,Retail,40,768170.88,749549.29,2.42,1,0,57000.28,55.51,0
B207480,Services,34,500000.0,407649.42,18.47,0,0,93040.9,57.64,0
B200319,Manufacturing,23,500000.0,392657.83,21.47,0,0,69010.73,49.63,0
B202887,Manufacturing,43,500000.0,363923.77,27.22,0,0,81485.22,55.91,0
B209043,Retail,38,500000.0,445189.47,10.96,0,0,47719.6,54.15,0
B202241,Retail,22,500000.0,431720.18,13.66,1,0,68560.75,66.49,1
B201688,Food,4,500000.0,367388.03,26.52,0,0,97158.79,45.8,0
B207783,retail,43,677273.74,572799.82,15.43,1,0,112594.27,55.9,0
B203986,Services,9,803357.2,637439.04,20.65,1,0,156835.29,49.95,0
B202289,IT,16,2057404.27,324378.77,35.12,0,0,66876.47,49.34,0
B203795,Healthcare,23,500000.0,402234.86,19.55,1,1,,53.32,0
B203884,Services,20,500000.0,397257.89,20.55,0,0,78717.87,54.23,0
B205844,Healthcare,20,500000.0,341066.46,31.79,0,0,53820.91,43.15,0
B208511,Services,24,500000.0,366180.25,26.76,0,0,104732.06,42.64,0
B207228,Retail,23,500000.0,406915.04,18.62,0,0,42729.51,59.31,0
B203234,IT,22,500000.0,399930.19,20.01,0,0,67204.05,54.16,0
B208648,Healthcare,26,500000.0,382335.42,23.53,0,0,63659.84,47.09,0
B202036,Retail,19,500000.0,500978.74,-0.2,0,0,56738.09,58.21,0
B204723,Healthcare,17,500000.0,396698.99,20.66,0,0,53302.04,46.56,0
B200690,Retail,16,500000.0,434566.75,13.09,0,0,40274.75,53.22,0
B205146,Services,36,500000.0,335301.13,32.94,1,0,,49.79,0
B204720,Food,35,500000.0,404203.87,19.16,0,0,59307.79,59.61,0
B208022,Healthcare,21,500000.0,410383.27,17.92,0,0,,46.63,0
B207418,IT,46,500000.0,376662.13,24.67,0,0,76285.67,61.37,1
B203373,Services,7,500000.0,335132.21,32.97,0,0,109720.81,45.03,0
B201792,IT,12,500000.0,367905.46,26.42,0,0,106064.37,47.18,0
B209629,Retail,31,500000.0,446168.25,10.77,0,0,,59.57,0
B208887,Manufacturing,61,500000.0,386054.33,22.79,1,0,64982.17,44.76,0
B208932,Food,3,500000.0,343166.44,31.37,0,0,51561.85,46.07,0
B203652,Healthcare,17,500000.0,446508.82,10.7,1,0,72176.36,57.83,0
B200168,Retail,3,500000.0,437031.48,12.59,1,0,42002.39,59.17,0
B200359,Retail,31,500000.0,453917.78,9.22,0,0,42307.86,62.66,1
B203964,Services,25,500000.0,382790.91,23.44,1,0,73583.03,48.1,0
B206302,Retail,42,500000.0,392036.46,21.59,0,0,68281.5,48.95,0
B207944,Retail,27,500000.0,441336.97,11.73,1,0,33819.63,53.16,0
B200937,Services,21,500000.0,444221.53,11.16,0,0,32311.41,58.55,0
B207090,Food,28,500000.0,365940.1,26.81,0,0,56795.93,48.61,0
B203518,Services,26,500000.0,315627.26,36.87,0,0,46002.73,41.8,0
B206858,Food,27,500000.0,393622.76,21.28,1,0,68397.88,52.41,0
B207573,Manufacturing,3,500000.0,429389.4,14.12,0,0,47201.4,56.21,0
B201451,Retail,46,500000.0,364689.65,27.06,0,0,92870.95,51.45,0
B204057,Services,9,500000.0,427372.85,14.53,1,0,49187.25,55.37,0
B203523,Retail,38,500000.0,399616.55,20.08,0,0,57790.83,50.75,0
B201616,Healthcare,13,500000.0,407868.21,18.43,1,0,95988.46,58.46,0
B206767,Retail,20,500000.0,379234.34,24.15,1,1,109225.9,67.09,1
B209133,Retail,39,500000.0,439844.36,12.03,1,0,47518.0,64.79,1
B205012,food,25,500000.0,393128.58,21.37,1,0,,51.01,0
B200586,Services,19,500000.0,355021.83,29.0,0,0,82436.43,56.21,0
B200213,Manufacturing,50,500000.0,403846.76,19.23,0,0,61160.5,50.74,0
B201660,Food,25,500000.0,428980.16,14.2,0,0,66574.0,60.97,1
B201147,Services,31,500000.0,376675.32,24.66,0,0,77010.1,45.17,0
B201285,IT,23,500000.0,364274.28,27.15,1,0,,49.2,0
B201494,Retail,35,500000.0,377671.32,24.47,1,0,60499.69,59.93,0
B209060,Services,25,3441755.04,1831515.72,26.49,1,0,99609.77,50.25,0
B201682,Retail,33,500000.0,433459.45,13.31,0,0,66236.76,50.79,0
B202136,Retail,12,500000.0,450807.46,9.84,1,1,58469.34,66.46,1
B204713,Healthcare,9,500000.0,362655.59,27.47,0,0,71875.73,50.99,0
B206266,,59,500000.0,424761.52,15.05,0,0,49512.14,65.27,1
B205722,Manufacturing,51,500000.0,362615.67,27.48,1,0,86588.1,42.51,0
B209776,IT,23,500000.0,414895.31,17.02,1,0,69749.0,55.08,0
B205893,Services,26,500000.0,356763.1,28.65,0,0,45237.97,49.91,0
B205203,Retail,3,500000.0,440771.58,11.85,1,1,46008.97,74.66,1
B200975,Food,48,500000.0,438626.48,12.27,1,0,44395.89,51.69,0
B209883,Manufacturing,33,500000.0,388967.22,22.21,1,0,36521.87,50.69,0
B201999,IT,29,500000.0,367237.22,26.55,0,0,65869.49,45.11,0
B207936,Manufacturing,52,500000.0,371101.64,,1,0,90189.83,48.84,0
B204256,Manufacturing,30,500000.0,375182.66,24.96,1,1,25665.08,62.75,1
B206163,IT,14,500000.0,336083.26,32.78,0,0,88530.14,44.79,0
B202448,IT,10,500000.0,354822.86,29.04,1,0,90859.9,52.53,0
B206352,Healthcare,11,500000.0,438193.0,12.36,0,0,55082.26,53.34,0
B200127,Manufacturing,39,500000.0,372941.69,25.41,0,0,85781.79,47.45,0
B203133,IT,39,500000.0,339982.08,32.0,0,0,82708.97,54.75,0
B201154,Retail,21,500000.0,327859.07,34.43,0,0,48891.6,38.52,0
B202624,Manufacturing,54,500000.0,366500.6,26.7,0,0,,53.81,0
B205023,Services,35,500000.0,334059.78,33.19,0,0,96129.09,48.87,0
B203320,IT,20,500000.0,357875.17,,0,0,39134.69,44.81,0
B204694,Services,46,500000.0,414634.93,17.07,1,0,84669.73,46.65,0
B202499,Healthcare,8,500000.0,371938.89,25.61,0,0,62444.88,51.42,0
B205186,Food,16,2333211.48,366818.88,26.64,0,0,100151.65,55.14,0
B201205,IT,27,629554.44,443329.67,29.58,1,0,98113.52,49.67,0
B207678,Services,19,500000.0,397187.66,20.56,0,0,92057.29,59.78,0
B205683,IT,11,853681.69,603807.91,29.27,0,0,84012.62,45.54,0
B202476,Retail,62,500000.0,407237.75,,0,0,80576.67,48.32,0
B201927,Services,16,500000.0,384877.17,23.02,1,0,76309.52,47.1,0
B203540,Healthcare,23,500000.0,346973.87,30.61,0,0,152486.83,47.86,0
B204618,Retail,36,500000.0,419816.6,16.04,0,0,68252.24,53.7,0
B203272,Manufacturing,45,500000.0,394123.83,21.18,1,0,131718.89,53.38,0
B207157,Manufacturing,66,500000.0,402646.15,19.47,1,0,51517.63,45.07,0
B203595,Food,20,500000.0,390135.96,21.97,0,0,87052.27,45.04,0
B201382,IT,44,500000.0,379668.18,24.07,1,0,81506.65,49.89,0
B203005,IT,3,693095.37,543446.98,21.59,1,0,108892.31,44.86,0
B200616,healthcare,20,500000.0,327154.69,34.57,1,0,118516.67,44.68,0
B207822,Services,34,500000.0,431903.0,13.62,0,0,43072.07,50.35,0
B206641,Manufacturing,53,526703.47,389003.08,26.14,1,0,74582.68,51.07,0
B202964,,28,500000.0,389285.51,22.14,0,0,41873.98,57.5,0
B209449,Food,15,500000.0,337363.06,32.53,0,0,68192.25,51.68,0
B203677,Healthcare,24,500000.0,367463.99,26.51,0,0,299888.4,50.48,0
B207434,Retail,26,500000.0,395430.33,20.91,1,0,14807.81,50.53,0
B202376,Food,20,500000.0,440011.45,12.0,0,0,84817.07,63.68,1
B201411,Retail,22,2828669.52,418063.57,16.39,0,0,76315.03,61.2,1
B203212,Food,29,500000.0,430639.34,13.87,0,0,55278.57,48.85,0
B201339,Food,44,500000.0,370132.96,25.97,0,0,103363.24,49.45,0
B202776,Food,14,500000.0,1889419.2,,0,0,100031.13,52.6,0
B201259,Services,16,500000.0,337223.85,32.56,0,0,109630.92,45.33,0
B204997,Manufacturing,33,500000.0,402706.54,19.46,1,0,63488.62,48.78,0
B205158,Manufacturing,41,500000.0,383576.76,23.28,1,1,81569.92,68.97,1
B208725,Manufacturing,47,500000.0,418491.41,16.3,1,0,43549.53,62.42,1
B204340,Services,17,500000.0,389927.63,22.01,0,0,386446.85,55.01,0
B202648,Retail,38,500000.0,414302.7,17.14,0,0,97222.47,54.27,0
B200249,Services,7,563543.98,453489.66,19.53,1,1,65866.41,67.26,1
B207955,Healthcare,10,500000.0,435733.91,12.85,0,0,93591.82,48.5,0
B206089,Manufacturing,55,500000.0,384138.06,23.17,1,0,81171.0,43.39,0
B205846,Manufacturing,51,523533.82,397077.48,24.15,1,0,95816.32,54.34,0
B200895,Services,15,500000.0,387762.94,22.45,0,0,105716.0,51.49,0
B206888,IT,11,500000.0,402662.36,19.47,0,0,32156.61,55.82,0
B204190,Retail,29,500000.0,416117.01,16.78,1,0,88640.07,54.41,0
B201325,Manufacturing,34,2564339.34,415916.49,16.82,0,0,60968.36,46.72,0
B202538,Retail,31,500000.0,404877.84,19.02,0,0,,43.09,0
B200039,Retail,23,500000.0,460304.56,,0,0,36327.81,48.08,0
B205246,,11,500000.0,344895.26,,0,0,80513.29,45.66,0
B207245,,21,500000.0,389065.22,22.19,1,0,87997.6,50.21,0
B203043,Healthcare,30,542918.72,466982.75,13.99,1,0,66234.3,51.06,0
B202383,Manufacturing,41,500000.0,364636.15,27.07,1,0,76029.23,42.0,0
B206444,Manufacturing,38,500000.0,387531.68,22.49,0,0,93503.27,46.24,0
B201344,IT,27,500000.0,389471.93,22.11,0,0,62066.67,52.06,0
B205980,Services,10,500000.0,1544752.11,28.79,0,0,99839.28,42.01,0
B205637,Services,21,500000.0,362708.22,27.46,0,0,100163.7,42.86,0
B202436,Services,12,500000.0,355190.89,28.96,0,0,101930.15,51.85,0
B205097,Retail,27,500000.0,393106.4,21.38,0,0,112933.25,58.01,0
B204272,food,23,500000.0,390524.0,21.9,0,0,108684.33,52.44,0
B203001,Retail,23,500000.0,404219.75,19.16,0,0,67576.73,49.49,0
B206412,Services,50,500000.0,370721.58,25.86,0,0,103173.03,43.2,0
B209142,Services,44,747396.69,507872.53,32.05,0,0,89206.07,43.8,0
B208469,IT,24,500000.0,370368.0,25.93,1,0,85843.57,53.21,0
B202597,Food,14,500000.0,407524.59,18.5,0,0,65577.53,43.63,0
B205173,Food,3,500000.0,381378.96,23.72,0,0,90481.07,49.29,0
B200712,Services,3,500000.0,414037.01,17.19,0,0,88223.71,52.79,0
B205892,Retail,9,500000.0,448965.45,10.21,1,1,22947.37,81.39,1
B209821,Retail,21,500000.0,399334.63,20.13,0,0,59161.0,57.95,0
B208368,Food,14,506396.38,425385.05,16.0,0,0,169786.21,61.95,1
B205828,services,18,500000.0,378531.13,24.29,0,0,94679.98,37.73,0
B202352,Services,19,500000.0,393921.3,21.22,0,0,101608.01,46.04,0
B203194,Manufacturing,26,529141.06,406635.25,23.15,0,0,72798.84,49.15,0
B207121,Services,22,500000.0,373603.65,25.28,1,0,,50.16,0
B201415,Services,6,571339.02,472454.0,17.31,0,0,79624.64,54.54,0
B201553,Services,23,500000.0,406238.78,18.75,0,0,62078.49,52.35,0
B204730,Food,39,500000.0,310051.91,37.99,1,0,93032.41,44.93,0
B208127,IT,26,500000.0,353829.66,29.23,1,0,105317.0,47.2,0
B205533,services,20,500000.0,388594.55,22.28,1,0,71871.84,57.11,0
B202965,retail,30,500000.0,436603.27,12.68,0,0,47905.36,57.87,0
B200394,Manufacturing,56,500000.0,359711.64,28.06,0,0,106647.27,46.14,0
B203625,Retail,23,500000.0,453374.83,9.33,0,0,42209.25,54.4,0
B206387,Retail,41,500000.0,433928.09,13.21,0,0,55679.76,53.28,0
B201962,Manufacturing,45,500000.0,454826.61,9.03,0,0,57721.95,53.22,0
B201195,Manufacturing,39,500000.0,390529.47,21.89,0,0,80485.94,54.55,0
B203844,Services,23,500000.0,396847.13,20.63,0,0,267816.52,50.77,0
B206689,Services,25,500000.0,383923.51,23.22,0,0,78152.33,52.75,0
B202039,Retail,31,500000.0,431150.32,13.77,0,0,74006.94,52.93,0
B207255,Manufacturing,42,500000.0,457553.79,8.49,1,0,57315.87,58.84,0
B209263,Retail,38,500000.0,403336.53,19.33,0,0,100040.03,51.13,0
B205221,Food,26,500000.0,405492.13,18.9,1,0,98928.24,46.25,0
B208060,Services,12,500000.0,390325.53,21.93,0,0,40459.61,52.72,0
B202611,Manufacturing,29,500000.0,1407968.79,19.65,1,0,50996.41,51.52,0
B203972,Services,39,500000.0,322999.94,35.4,0,0,64411.42,45.57,0
B203370,Manufacturing,25,500000.0,298672.24,40.27,1,0,67722.07,42.69,0
B209084,Retail,23,1302390.66,1181121.59,9.31,0,0,,53.22,0
B207823,Healthcare,13,500000.0,359332.9,28.13,1,1,,68.26,1
B205919,Food,16,3763211.17,535181.64,11.8,0,0,121594.8,57.54,0
B203431,Services,28,500000.0,342270.13,31.55,0,0,99138.19,37.75,0
B209738,Retail,32,500000.0,422763.02,15.45,0,0,52279.71,57.7,0
B207252,Healthcare,33,500000.0,412177.12,17.56,1,0,64896.38,50.29,0
B204413,Manufacturing,37,500000.0,381307.37,,1,0,58432.06,47.37,0
B209294,Manufacturing,37,500000.0,417474.79,,1,0,73021.52,63.97,1
